CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
5123355,09/23/2015 09:40:16 AM,09/24/2015 02:49:52 PM,09/24/2015 02:49:52 PM,Closed,"Case Resolved - BID complaint no. 201566341 has been filed with DBI (415) 558-6570 on 08/24/2015 under 311 service request no. 5012905.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"888 BRANNAN ST, SAN FRANCISCO, CA, 94103",6,Showplace Square,"(37.772002399388, -122.405269239979)",Voice In,
5123725,09/23/2015 10:42:49 AM,09/25/2015 12:00:00 PM,09/25/2015 12:00:00 PM,Closed,Case Completed - resolved: This is an IDC project 15EXC-2040 Melinda Hespen - I spoke to Melinda and e-mailed RFA's,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,"1481 HAIGHT ST, SAN FRANCISCO, CA, 94117",5,Haight Ashbury,"(37.769938322527, -122.446604466062)",Web Self Service,
5123746,09/23/2015 10:46:54 AM,09/25/2015 12:00:00 PM,09/25/2015 12:00:00 PM,Closed,Case Completed - resolved: This is an IDC project 15EXC-2040 Melinda Hespen - I spoke to Melinda and e-mailed RFA's,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,"1479 HAIGHT ST, SAN FRANCISCO, CA, 94117",5,Haight Ashbury,"(37.769530872921, -122.449375167067)",Web Self Service,
5124213,09/23/2015 12:11:41 PM,09/24/2015 05:28:04 AM,09/24/2015 05:28:04 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Intersection of JONES ST and SACRAMENTO ST,3,Nob Hill,"(37.7923427147841, -122.414293103482)",Voice In,
5126451,09/23/2015 09:58:53 PM,,09/23/2015 10:00:58 PM,Open,accepted,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,Intersection of THE EMBARCADERO and CHESTNUT ST,3,Northern Waterfront,"(37.8051849582006, -122.403435835424)",Voice In,
5126579,09/24/2015 01:28:33 AM,09/25/2015 05:28:25 AM,09/25/2015 05:28:25 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"2101 42ND AVE, SAN FRANCISCO, CA, 94116",4,Outer Sunset,"(37.747415455547, -122.500854737934)",Web Self Service,
5126905,09/24/2015 08:11:11 AM,09/24/2015 04:13:11 PM,09/24/2015 04:13:11 PM,Closed,"Case Resolved - BID complaint n. 201571162 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"925 FOLSOM ST, SAN FRANCISCO, CA, 94107",6,South of Market,"(37.779325130571, -122.403979074553)",Voice In,
5127037,09/24/2015 08:38:52 AM,09/25/2015 05:28:26 AM,09/25/2015 05:28:26 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,protest_speech_bullhorns,Noise Report - protest_speech_bullhorns,Intersection of POLK ST and MCALLISTER ST,6,Civic Center,"(37.7802602275734, -122.418598538827)",Voice In,
5127641,09/24/2015 10:39:19 AM,09/25/2015 10:09:05 AM,09/25/2015 10:09:05 AM,Closed,"Case Resolved - BID complaint no. 201571261 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"119 VALLEY ST, SAN FRANCISCO, CA, 94131",8,Noe Valley,"(37.744460159838, -122.425386991484)",Voice In,
5128012,09/24/2015 11:38:58 AM,09/25/2015 09:58:17 AM,09/25/2015 09:58:17 AM,Closed,"Case Resolved - BID complaint no. 201571241 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,Not associated with a specific address,0,,,Voice In,
5128064,09/24/2015 11:48:32 AM,09/25/2015 12:00:00 PM,09/25/2015 12:00:00 PM,Closed,Case Completed - resolved: duplicate - refer to RFA #21218689 - duplicate - refer to RFA #21218689,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,Intersection of CHESTNUT ST and SANSOME ST,3,Northern Waterfront,"(37.8051849582006, -122.403435835424)",Voice In,
5128521,09/24/2015 01:17:38 PM,03/25/2016 03:17:54 PM,03/25/2016 03:17:54 PM,Closed,Case Resolved -,SFMTA - Muni System Feedback Queue,Noise Report,construction_public,Noise Report - construction_public,Intersection of DUBOCE AVE and CHURCH ST,8,Duboce Triangle,"(37.7694561645459, -122.429128105966)",Voice In,
5128779,09/24/2015 02:07:50 PM,09/25/2015 05:28:25 AM,09/25/2015 05:28:25 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.774628805593, -122.418848088939)",Voice In,
5129287,09/24/2015 03:48:23 PM,09/25/2015 05:28:26 AM,09/25/2015 05:28:26 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"624 IRVING ST, SAN FRANCISCO, CA, 94122",5,Inner Sunset,"(37.764358697107, -122.46467855741)",Voice In,
5129352,09/24/2015 04:00:31 PM,10/16/2015 04:46:21 PM,10/16/2015 04:46:21 PM,Closed,Case Resolved - Provided additional information,311 Supervisor Queue,Noise Report,entertainment,Noise Report - entertainment,"146 MCALLISTER ST, SAN FRANCISCO, CA, 94102",6,Civic Center,"(37.780938879417, -122.414458416296)",Web Self Service,
5130172,09/24/2015 08:42:08 PM,10/06/2015 01:45:45 PM,10/06/2015 01:45:45 PM,Closed,"Case Resolved - BID complaint no. 201572971 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"288 9TH ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.77384194361, -122.411972489809)",Voice In,
5130203,09/24/2015 09:58:47 PM,10/02/2015 12:00:00 PM,10/02/2015 12:00:00 PM,Closed,Case Completed - resolved: duplicate - refer to RFA #21218689 - duplicate - refer to RFA #21218689,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,Intersection of THE EMBARCADERO and CHESTNUT ST,3,Northern Waterfront,"(37.8051849582006, -122.403435835424)",Voice In,
5130244,09/24/2015 10:48:36 PM,10/16/2015 04:06:20 PM,10/16/2015 04:06:20 PM,Closed,Issued -,Entertainment Commission - G,Noise Report,major_event_venue,Noise Report - major_event_venue,Intersection of FRANKLIN ST and IVY ST,5,Civic Center,"(37.7775595585664, -122.421426153952)",Voice In,
5130245,09/24/2015 10:50:13 PM,09/25/2015 10:19:05 AM,09/25/2015 10:19:05 AM,Closed,"Case Resolved - BID complaint no. 201571271 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"3004 24TH ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.752940144022, -122.407647946689)",Voice In,
5130304,09/25/2015 12:26:26 AM,09/26/2015 05:28:44 AM,09/26/2015 05:28:44 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Not associated with a specific address,0,,,Web Self Service,
5130305,09/25/2015 12:29:33 AM,09/26/2015 05:28:43 AM,09/26/2015 05:28:43 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Not associated with a specific address,0,,,Web Self Service,
5130306,09/25/2015 12:31:23 AM,09/26/2015 05:28:43 AM,09/26/2015 05:28:43 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"1868 MCALLISTER ST, SAN FRANCISCO, CA, 94115",5,Western Addition,"(37.777445734496, -122.442950564371)",Web Self Service,
5131386,09/25/2015 11:02:50 AM,10/05/2015 11:22:18 AM,10/05/2015 11:22:18 AM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,0,,,Voice In,
5131697,09/25/2015 11:58:32 AM,12/24/2015 08:57:19 AM,12/24/2015 08:57:19 AM,Closed,"Case Resolved - BID complaint no. 201588082 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Building Inspection Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,Intersection of WASHINGTON ST and VAN NESS AVE,2,Pacific Heights,"(37.793050009894, -122.422871329247)",Voice In,
5132094,09/25/2015 01:29:45 PM,09/26/2015 05:28:44 AM,09/26/2015 05:28:44 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"1514 PERSHING DR, SAN FRANCISCO, CA, 94129",2,Presidio National Park,"(37.791653629191, -122.479211818143)",Web Self Service,
5132665,09/25/2015 03:38:51 PM,09/30/2015 02:08:40 PM,09/30/2015 02:08:40 PM,Closed,Accepted - BID complaint 201572041 has been opened. View status at sfdbi.org or call (415) 558 6570,DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"940 JONES ST, SAN FRANCISCO, CA, 94109",3,Lower Nob Hill,"(37.790100417485, -122.413683452751)",Voice In,
5132728,09/25/2015 03:56:27 PM,09/26/2015 05:28:44 AM,09/26/2015 05:28:44 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"609 HAYES ST, SAN FRANCISCO, CA, 94102",5,Panhandle,"(37.773511770713, -122.4507179806)",Voice In,
5133158,09/25/2015 05:44:34 PM,09/26/2015 05:28:44 AM,09/26/2015 05:28:44 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"875 NORTH POINT ST, SAN FRANCISCO, CA, 94109",2,Aquatic Park / Ft. Mason,"(37.805445464308, -122.421531559275)",Web Self Service,
5133209,09/25/2015 06:23:50 PM,09/26/2015 05:28:44 AM,09/26/2015 05:28:44 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"72 TOWNSEND ST, SAN FRANCISCO, CA, 94107",6,South Beach,"(37.781155483366, -122.390061953311)",Web Self Service,
5133351,09/25/2015 08:16:37 PM,10/01/2015 01:17:27 PM,10/01/2015 01:17:27 PM,Closed,"Case Transferred - Air, Noise & Radiation Program. DP{H
 Jonathan Piakis, Industrial Hygienist
 415-252-3911",DPH - Environmental Health - G,Noise Report,mechanical_equipment,Noise Report - mechanical_equipment,"1200 19TH AVE, SAN FRANCISCO, CA, 94122",4,Inner Sunset,"(37.765411135054, -122.477232587976)",Web Self Service,
5133402,09/25/2015 09:46:48 PM,10/16/2015 04:06:34 PM,10/16/2015 04:06:34 PM,Closed,Issued -,Entertainment Commission - G,Noise Report,major_event_venue,Noise Report - major_event_venue,"200 CAYUGA AVE, SAN FRANCISCO, CA, 94112",8,Mission Terrace,"(37.730602536226, -122.433230909834)",Voice In,
5133405,09/25/2015 09:49:12 PM,10/21/2015 12:32:16 PM,10/21/2015 12:32:16 PM,Closed,Issued -,Entertainment Commission - G,Noise Report,major_event_venue,Noise Report - major_event_venue,"18 VICKSBURG ST, SAN FRANCISCO, CA, 94114",8,Dolores Heights,"(37.754282049913, -122.428918156131)",Voice In,
5133408,09/25/2015 09:50:01 PM,09/26/2015 09:42:58 PM,09/26/2015 09:42:58 PM,Closed,Case is Invalid - No SR required,Entertainment Commission - G,Noise Report,major_event_venue,Noise Report - major_event_venue,Intersection of 22ND ST and CASTRO ST,8,Noe Valley,"(37.7544938584748, -122.434394177259)",Voice In,
5133428,09/25/2015 10:05:53 PM,09/26/2015 05:28:44 AM,09/26/2015 05:28:44 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"258 30TH ST, SAN FRANCISCO, CA, 94131",8,Noe Valley,"(37.742253486998, -122.425629289462)",Web Self Service,
5133485,09/25/2015 10:48:03 PM,10/21/2015 12:36:04 PM,10/21/2015 12:36:04 PM,Closed,Issued -,Entertainment Commission - G,Noise Report,major_event_venue,Noise Report - major_event_venue,Intersection of FOLSOM ST and EUGENIA AVE,9,Bernal Heights,"(37.7402870826369, -122.4133066145)",Voice In,
5133495,09/25/2015 10:56:12 PM,10/21/2015 12:36:59 PM,10/21/2015 12:36:59 PM,Closed,Issued -,Entertainment Commission - G,Noise Report,major_event_venue,Noise Report - major_event_venue,Intersection of KING ST and 2ND ST,6,South Beach,"(37.7798612556978, -122.38959078599)",Voice In,
5133572,09/26/2015 03:01:01 AM,09/27/2015 05:28:51 AM,09/27/2015 05:28:51 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Not associated with a specific address,0,,,Web Self Service,
5133599,09/26/2015 04:10:34 AM,09/27/2015 05:28:50 AM,09/27/2015 05:28:50 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Not associated with a specific address,0,,,Voice In,
5133918,09/26/2015 09:18:19 AM,09/30/2015 02:48:58 PM,09/30/2015 02:48:58 PM,Closed,Accepted - BID complaint #201572083 has been opened. View status at sfdbi.org or call (415)558-6570,DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"1135 GUERRERO ST, SAN FRANCISCO, CA, 94110",8,Dolores Heights,"(37.753026308792, -122.422795287215)",Web Self Service,
5133919,09/26/2015 09:19:34 AM,09/30/2015 02:50:55 PM,09/30/2015 02:50:55 PM,Closed,Accepted - BID complaint #201572083 has been opened. View status at sfdbi.org or call (415)558-6570,DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"1137 GUERRERO ST, SAN FRANCISCO, CA, 94110",8,Dolores Heights,"(37.753033139668, -122.422660581883)",Web Self Service,
5133921,09/26/2015 09:21:06 AM,09/30/2015 02:52:07 PM,09/30/2015 02:52:07 PM,Closed,Accepted - BID complaint #201572083 has been opened. View status at sfdbi.org or call (415) 558-6570,DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"1139 GUERRERO ST, SAN FRANCISCO, CA, 94110",8,Dolores Heights,"(37.753021400997, -122.422756659119)",Web Self Service,
5134020,09/26/2015 10:02:38 AM,11/18/2015 01:24:52 PM,11/18/2015 01:24:52 PM,Closed,Insufficient Information Provided -,311 Supervisor Queue,Residential Building Request,Building - Noise_Caused_by_Building_Systems,Noise_Caused_by_Building_Systems,Intersection of GUERRERO ST and 23RD ST,8,Dolores Heights,"(37.7535692786269, -122.423028554982)",Web Self Service,
5134081,09/26/2015 10:26:27 AM,10/14/2015 03:24:51 PM,10/14/2015 03:24:51 PM,Closed,"Case is a Duplicate - BID complaint no 201572091 has been filed with DBI (415) 558-6570 on 09/30/2015 under 311 service request no. 5134086 and 6134088.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"27 RICO WAY, SAN FRANCISCO, CA, 94123",2,Marina,"(37.804765682025, -122.438803934993)",Web Self Service,
5134086,09/26/2015 10:27:12 AM,09/30/2015 02:56:42 PM,09/30/2015 02:56:42 PM,Closed,Accepted - BID complaint # 201572091 has been opened. View status at sfdbi.org or call (415) 558 6570,DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"27 RICO WAY, SAN FRANCISCO, CA, 94123",2,Marina,"(37.804765682025, -122.438803934993)",Web Self Service,
5134088,09/26/2015 10:27:45 AM,09/30/2015 02:57:24 PM,09/30/2015 02:57:24 PM,Closed,Accepted - BID complaint # 201572091 has been opened. View status at sfdbi.org or call (415) 558 6570,DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"27 RICO WAY, SAN FRANCISCO, CA, 94123",2,Marina,"(37.804765682025, -122.438803934993)",Web Self Service,
5134220,09/26/2015 11:14:38 AM,09/27/2015 05:28:51 AM,09/27/2015 05:28:51 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"2939 DIVISADERO ST, SAN FRANCISCO, CA, 94123",2,Cow Hollow,"(37.796758051772, -122.442355733026)",Web Self Service,
5134262,09/26/2015 11:24:11 AM,09/27/2015 05:28:50 AM,09/27/2015 05:28:50 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Not associated with a specific address,0,,,Web Self Service,
5134417,09/26/2015 12:29:09 PM,,09/26/2015 12:33:40 PM,Open,Open,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,0,,,Voice In,
5134686,09/26/2015 02:24:04 PM,10/21/2015 12:37:19 PM,10/21/2015 12:37:19 PM,Closed,Issued -,Entertainment Commission - G,Noise Report,major_event_venue,Noise Report - major_event_venue,Intersection of KING ST and 2ND ST,6,South Beach,"(37.7798612556978, -122.38959078599)",Voice In,
5134800,09/26/2015 03:01:20 PM,09/27/2015 05:28:51 AM,09/27/2015 05:28:51 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"846 JUNIPERO SERRA BLVD, SAN FRANCISCO, CA, 94127",7,Stonestown,"(37.723054643362, -122.472407501633)",Web Self Service,
5134836,09/26/2015 03:10:33 PM,,09/26/2015 03:13:55 PM,Open,Open,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,0,,,Voice In,
5135378,09/26/2015 07:51:56 PM,09/27/2015 09:38:47 AM,09/27/2015 09:38:47 AM,Closed,Case Resolved - Park patrol has been advised.,RPD Park Patrol Queue,Rec and Park Requests,Park - Park_Patrol,Noise,"Angelo J. Rossi Playground, 2 WILLARD ST NORTH, SAN FRANCISCO, CA, 94118",1,Lone Mountain,"(37.778741672, -122.4574532)",Voice In,
5135495,09/26/2015 10:34:43 PM,09/27/2015 05:28:52 AM,09/27/2015 05:28:52 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1753 47TH AVE, SAN FRANCISCO, CA, 94122",4,Outer Sunset,"(37.753809953113, -122.506676680655)",Web Self Service,
5135510,09/26/2015 10:54:18 PM,09/27/2015 05:28:51 AM,09/27/2015 05:28:51 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,Intersection of DWIGHT ST and BOWDOIN ST,9,Portola,"(37.7222296222949, -122.409019758575)",Voice In,
5135607,09/27/2015 12:34:09 AM,09/28/2015 05:28:58 AM,09/28/2015 05:28:58 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Not associated with a specific address,0,,,Voice In,
5135690,09/27/2015 04:21:15 AM,09/28/2015 05:28:58 AM,09/28/2015 05:28:58 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"20 RAMONA AVE, SAN FRANCISCO, CA, 94103",8,Mission Dolores,"(37.767559039335, -122.425458425819)",Web Self Service,
5135930,09/27/2015 08:58:46 AM,09/30/2015 02:44:28 PM,09/30/2015 02:44:28 PM,Closed,Accepted - BID complaint 201572082 has been opened. View status at sfdbi.org or call (415) 558 6570,DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,Not associated with a specific address,0,,,Web Self Service,
5137375,09/27/2015 09:25:44 PM,09/28/2015 05:28:58 AM,09/28/2015 05:28:58 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,delivery_service_vehicle,Noise Report - delivery_service_vehicle,"550 ALABAMA ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.76219073452, -122.41245642383)",Voice In,
5137829,09/28/2015 07:56:45 AM,10/07/2015 02:29:56 PM,10/07/2015 02:29:56 PM,Closed,"Case Resolved - BID complaint no. 201573242 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"2430 HYDE ST, SAN FRANCISCO, CA, 94109",2,Russian Hill,"(37.803374920816, -122.419728722761)",Voice In,
5137940,09/28/2015 08:24:53 AM,10/06/2015 01:30:45 PM,10/06/2015 01:30:45 PM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,0,,,Voice In,
5138201,09/28/2015 09:04:53 AM,10/08/2015 09:21:39 AM,10/08/2015 09:21:39 AM,Closed,"Case Transferred - Air, Noise & Radiation Program, DPH
 Jonathan Piakis, Industrial Hygienist
 415-252-3911",DPH - Environmental Health - G,Noise Report,garbage_recycling_collection,Noise Report - garbage_recycling_collection,"717 LEAVENWORTH ST, SAN FRANCISCO, CA, 94109",3,Lower Nob Hill,"(37.787722776427, -122.415185054869)",Voice In,
5138308,09/28/2015 09:25:19 AM,10/06/2015 02:54:26 PM,10/06/2015 02:54:26 PM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,0,,,Voice In,
5138363,09/28/2015 09:36:37 AM,10/14/2015 02:32:38 PM,10/14/2015 02:32:38 PM,Closed,"Case Resolved - BID complaint no. 201574191 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Building Inspection Queue,Residential Building Request,Building - Noise_Caused_by_Building_Systems,Noise_Caused_by_Building_Systems,"225 FREDERICK ST, SAN FRANCISCO, CA, 94117",5,Ashbury Heights,"(37.767027406726, -122.446858320548)",Web Self Service,
5138871,09/28/2015 11:50:56 AM,09/29/2015 05:29:11 AM,09/29/2015 05:29:11 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Intersection of 2ND ST and KING ST,6,South Beach,"(37.7798612556978, -122.38959078599)",Voice In,
5139154,09/28/2015 12:45:33 PM,10/06/2015 12:39:44 PM,10/06/2015 12:39:44 PM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Intersection of 48TH AVE and POINT LOBOS AVE,1,Sutro Heights,"(37.7798509899629, -122.509432780458)",Voice In,
5139693,09/28/2015 02:10:17 PM,10/08/2015 09:30:03 AM,10/08/2015 09:30:03 AM,Closed,"Case Transferred - Air, Noise & Radiation Program, DPH
 Jonathan Piakis, Industrial Hygienist
 415-252-3911",DPH - Environmental Health - G,Noise Report,garbage_recycling_collection,Noise Report - garbage_recycling_collection,"691 POST ST, SAN FRANCISCO, CA, 94109",3,Lower Nob Hill,"(37.787570981636, -122.413082824153)",Web Self Service,
5139756,09/28/2015 02:19:40 PM,09/30/2015 02:19:46 PM,09/30/2015 02:19:46 PM,Closed,Accepted - DBI complaint # 201572044 has been opened. View status at sfdbi.org or call (415) 558-6570.,DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"1215 BAY ST, SAN FRANCISCO, CA, 94123",2,Marina,"(37.803777543457, -122.427012219763)",Voice In,
5139909,09/28/2015 02:49:01 PM,09/29/2015 05:29:11 AM,09/29/2015 05:29:11 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,protest_speech_bullhorns,Noise Report - protest_speech_bullhorns,Intersection of CLAY ST and BATTERY ST,3,Financial District,"(37.7950130471456, -122.400329302618)",Voice In,
5139919,09/28/2015 02:52:06 PM,09/29/2015 05:29:10 AM,09/29/2015 05:29:10 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,protest_speech_bullhorns,Noise Report - protest_speech_bullhorns,Intersection of CLAY ST and BATTERY ST,3,Financial District,"(37.7950130471456, -122.400329302618)",Voice In,
5140109,09/28/2015 03:27:01 PM,10/21/2015 12:38:56 PM,10/21/2015 12:38:56 PM,Closed,Issued -,Entertainment Commission - G,Noise Report,major_event_venue,Noise Report - major_event_venue,Intersection of 11TH ST and HOWARD ST,6,South of Market,"(37.7731006171595, -122.415561380814)",Voice In,
5140214,09/28/2015 03:57:14 PM,10/08/2015 09:27:06 AM,10/08/2015 09:27:06 AM,Closed,"Case Transferred - Food Safety Program, DPH
 415-252-3804",DPH - Environmental Health - G,Noise Report,mechanical_equipment,Noise Report - mechanical_equipment,"5158 GEARY BLVD, SAN FRANCISCO, CA, 94118",1,Inner Richmond,"(37.780755154177, -122.474915623515)",Web Self Service,
5140216,09/28/2015 03:57:44 PM,10/08/2015 09:35:46 AM,10/08/2015 09:35:46 AM,Closed,"Case Transferred - Food Safety Program, DPH
 415-252-3804",DPH - Environmental Health - G,Noise Report,mechanical_equipment,Noise Report - mechanical_equipment,"5158 GEARY BLVD, SAN FRANCISCO, CA, 94118",1,Inner Richmond,"(37.780755154177, -122.474915623515)",Web Self Service,
5140435,09/28/2015 04:47:36 PM,10/08/2015 09:39:12 AM,10/08/2015 09:39:12 AM,Closed,"Case Transferred - Air, Noise & Radiation Program, DPH
 Jonathan Piakis, Industrial Hygienist
 415-252-3911",DPH - Environmental Health - G,Noise Report,garbage_recycling_collection,Noise Report - garbage_recycling_collection,"691 POST ST, SAN FRANCISCO, CA, 94109",3,Lower Nob Hill,"(37.787570981636, -122.413082824153)",Web Self Service,
5141025,09/28/2015 09:19:08 PM,10/14/2015 02:55:00 PM,10/14/2015 02:55:00 PM,Closed,"Case is a Duplicate - BID complaint no. 201569841 has been filed with DBI (415) 558-6570 on 9/17/2015.  To view the status, please visit our website at www.sfdbi.org.",DBI Inspection Services Queue,Residential Building Request,Building - Noise_Caused_by_Building_Systems,Noise_Caused_by_Building_Systems,"100 VAN NESS AVE, SAN FRANCISCO, CA, 94102",6,Civic Center,"(37.776731421779, -122.419316106666)",Web Self Service,
5141156,09/28/2015 11:32:26 PM,09/29/2015 05:29:11 AM,09/29/2015 05:29:11 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,home_improvement_maintenance,Noise Report - home_improvement_maintenance,"1714 TARAVAL ST, SAN FRANCISCO, CA, 94116",4,Parkside,"(37.742808718715, -122.484682293973)",Web Self Service,
5141189,09/29/2015 12:33:47 AM,09/30/2015 05:29:25 AM,09/30/2015 05:29:25 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Not associated with a specific address,0,,,Web Self Service,
